elevation,slope,twi,stream_proximity,lulc,rain_0,rain_1,rain_2,rain_3,rain_4,rain_5,rain_6,flood_label,event_date
56,20.593284606933594,8.427632820995997,199.37356855685348,80,218.81273520784453,625.0633637905121,244.7974977493286,358.480039909482,110.99182415381074,189.96638504602015,166.51690559089184,1,2020-10-12
5,0.9673477411270142,13.726293150948234,160.77598369199993,40,214.18546305783093,531.9115550518036,303.08442068099976,357.8945987224579,63.2081484682858,193.01613461971283,236.44990035891533,1,2020-10-12
1,2.943068027496338,10.41625187106626,460.5985284929771,40,240.84933826327324,645.7449122667313,304.0448079109192,449.46529054641724,145.31982741504908,256.5639503598213,205.77845492959023,1,2020-10-12
1,0.9274099469184875,12.264264554800253,1297.859970250242,40,250.00693822838366,454.4126080274582,427.82807898521423,567.0326998829842,82.16353802382946,182.0572436377406,260.7005934417248,1,2020-10-12
2,0.9274099469184875,12.487429947721195,1717.1226186561958,40,250.00693822838366,454.4126080274582,427.82807898521423,567.0326998829842,82.16353802382946,182.0572436377406,260.7005934417248,1,2020-10-12
3,1.8543341159820557,10.877325655784938,989.4175549849731,40,188.71316995378584,324.93151807785034,416.1675567626953,377.2705691829324,42.58012351766229,186.31042588874698,291.8561445772648,1,2020-10-12
2,-9999,-9999,798.6869116511093,40,240.84933826327324,645.7449122667313,304.0448079109192,449.46529054641724,145.31982741504908,256.5639503598213,205.77845492959023,1,2020-10-12
3,0.9274099469184875,11.976125904910708,3609.2311689798353,40,198.30312734562904,343.85423624515533,428.17896842956543,487.57779390364885,50.09644274786115,170.48478137888014,220.59394013881683,1,2020-10-12
-9999,2.091567039489746,13.560112259429424,217.5930199918557,90,188.71316995378584,324.93151807785034,416.1675567626953,377.2705691829324,42.58012351766229,186.31042588874698,291.8561445772648,1,2020-10-12
4,2.1454317569732666,11.424890377604795,411.74270417435986,40,229.21445401757956,358.28170692920685,404.03350710868835,432.8627983443439,49.692346847616136,172.26121950149536,262.5131178200245,1,2020-10-12
5,3.3854141235351562,11.19137625420648,76.01678149070659,30,243.38390777166933,447.0274988338351,393.79178833961487,409.54358760640025,68.4775294745341,207.8176981806755,261.54458421468735,1,2020-10-12
4,-9999,-9999,170.15420895506233,40,240.84933826327324,645.7449122667313,304.0448079109192,449.46529054641724,145.31982741504908,256.5639503598213,205.77845492959023,1,2020-10-12
4,3.8282697200775146,10.845414793462787,971.2017436198169,40,245.7743087504059,537.2965126633644,305.37434339523315,474.4161864221096,94.22303246287629,225.56742068752646,206.68630743026733,1,2020-10-12
1,0.9274099469184875,13.586371296801035,24.244974372864775,40,250.33441385813057,531.928966999054,329.20928597450256,499.7969061732292,103.34599695261568,205.63920215331018,204.34209260344505,1,2020-10-12
4,-9999,-9999,117.62607587894762,90,250.33441385813057,531.928966999054,329.20928597450256,499.7969061732292,103.34599695261568,205.63920215331018,204.34209260344505,1,2020-10-12
2,3.976160764694214,10.51867859618297,375.9622907921329,40,188.71316995378584,324.93151807785034,416.1675567626953,377.2705691829324,42.58012351766229,186.31042588874698,291.8561445772648,1,2020-10-12
929,61.026607513427734,6.857510753018577,477.37703721919064,10,157.7868296955712,578.4246733188629,243.35228312015533,301.4925026893616,66.66570380050689,141.38642129302025,119.55902954936028,1,2020-10-12
3,1.339383840560913,11.609861324314563,1399.3805807071512,90,240.84933826327324,645.7449122667313,304.0448079109192,449.46529054641724,145.31982741504908,256.5639503598213,205.77845492959023,1,2020-10-12
4,0.9668169617652893,11.5301532588564,220.45406421339783,40,240.84933826327324,645.7449122667313,304.0448079109192,449.46529054641724,145.31982741504908,256.5639503598213,205.77845492959023,1,2020-10-12
