system:index,elevation,flood_label,lulc,rain_0,rain_1,rain_2,rain_3,rain_4,rain_5,rain_6,slope,twi,.geo
1937,2,0,80,15.879999481141567,38.64999893307686,18.589999621734023,34.94999923929572,4.829999836161733,2.1299999747425318,0.9299999624490738,0.94085234,4.109106987028434,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.15248599104865,9.697761828982728]}"
1938,5,0,10,38.9899991825223,5.58999983407557,15.439999707043171,39.53999870084226,1.10999995470047,3.4799999110400677,0.12999999895691872,2.0789483,6.926844612146201,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.22507444028736,9.60316922956494]}"
1939,5,0,10,18.869999639689922,30.85999933630228,10.739999689161777,45.79999919235706,9.809999853372574,13.109999751672149,28.549999326467514,3.7047918,2.737205718585328,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.43195187593824,9.670003886703434]}"
1940,1,0,10,33.47999896854162,21.319999614730477,14.409999743103981,31.859999433159828,1.589999970048666,5.209999846294522,0.5099999979138374,2.9351683,4.356882072373783,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.86934158777603,10.211418508442272]}"
1941,6,0,50,24.859999485313892,91.71999815478921,17.67999948002398,37.65999877080321,7.589999800547957,12.729999776929617,9.569999601691961,3.8716214,2.693030794515341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.64727804954168,9.80555966307707]}"
1942,-4,0,40,29.65999921783805,3.4999999050050974,13.809999629855156,32.59999888390303,5.719999883323908,2.139999942854047,-9999,3.8733616,5.98841690982943,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.99708202117779,9.962675006269578]}"
1943,6,0,50,41.90999846160412,16.759999630972743,36.129999205470085,41.55999889224768,0.6599999889731407,2.8399999756366014,-9999,2.7802885,3.0248877974092183,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.33233328521123,10.397100277669779]}"
1944,1,0,10,32.53999921120703,3.4199999384582043,16.579999400302768,34.28999947756529,2.6299998909235,4.36999979428947,-9999,5.452777,2.3490773743289406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.10892227405071,9.973993778849483]}"
1945,-2,0,40,44.91999853588641,4.68999981507659,20.06999959796667,37.59999870322645,0.4299999885261059,2.809999877586961,-9999,1.3212296,3.7694877356535255,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.39539501815642,9.82280731653217]}"
1946,0,0,60,15.499999577179551,23.48999932408333,15.719999577850103,44.08999923616648,8.579999759793282,4.309999898076057,12.709999904036522,0.92740995,5.222112341948267,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.27321956523429,9.691293958937067]}"
